Call number,Customer ID,Duration,Representative,Date of Call,Purchase,Rating,Month,Customer ID.1,Gender,Age,City
Call_7271,C0003,116.0,R05,2023-01-01,128.0,5,January,C0003,Male,26.0,Cincinnati
Call_7272,C0004,119.0,R05,2023-01-01,135.0,3,January,C0004,Male,36.0,Cincinnati
Call_7273,C0005,68.0,R02,2023-01-01,66.0,5,January,C0005,Male,37.0,Columbus
Call_7274,C0014,119.0,R02,2023-01-01,22.0,3,January,C0014,Female,38.0,Columbus
Call_7275,C0011,128.0,R01,2023-01-02,31.0,3,January,C0011,Female,30.0,Cincinnati
Call_7276,C0011,49.0,R02,2023-01-03,135.0,5,January,C0011,Female,30.0,Cincinnati
Call_7277,C0007,84.0,R05,2023-01-03,60.0,5,January,C0007,Female,22.0,Cleveland
Call_7278,C0003,103.0,R04,2023-01-03,148.0,4,January,C0003,Male,26.0,Cincinnati
Call_7279,C0005,31.0,R02,2023-01-03,135.0,4,January,C0005,Male,37.0,Columbus
Call_7280,C0010,44.0,R03,2023-01-03,105.0,3,January,C0010,Female,30.0,Cleveland
Call_7281,C0011,102.0,R02,2023-01-03,96.50402414486922,5,January,C0011,Female,30.0,Cincinnati
Call_7282,C0013,135.0,R05,2023-01-03,46.0,3,January,C0013,Female,37.0,Cleveland
Call_7283,C0002,98.0,R02,2023-01-04,108.0,4,January,C0002,Male,31.0,Cleveland
Call_7284,C0010,139.0,R02,2023-01-04,96.0,4,January,C0010,Female,30.0,Cleveland
Call_7285,C0013,48.0,R01,2023-01-04,68.0,5,January,C0013,Female,37.0,Cleveland
Call_7286,C0010,176.0,R05,2023-01-05,24.0,5,January,C0010,Female,30.0,Cleveland
Call_7287,C0010,99.0,R01,2023-01-05,96.50402414486922,4,January,C0010,Female,30.0,Cleveland
Call_7288,C0009,28.0,R03,2023-01-05,28.0,4,January,C0009,Female,25.0,Columbus
Call_7289,C0007,54.0,R02,2023-01-05,170.0,4,January,C0007,Female,22.0,Cleveland
Call_7290,C0006,48.0,R05,2023-01-06,30.0,4,January,C0006,Male,23.0,Columbus
Call_7291,C0004,128.0,R05,2023-01-06,72.0,5,January,C0004,Male,36.0,Cincinnati
Call_7292,C0004,38.0,R04,2023-01-07,92.0,5,January,C0004,Male,36.0,Cincinnati
Call_7293,C0003,67.0,R04,2023-01-08,165.0,4,January,C0003,Male,26.0,Cincinnati
Call_7294,C0015,58.0,R02,2023-01-08,140.0,2,January,C0015,Female,43.0,Cleveland
Call_7295,C0010,54.0,R01,2023-01-08,111.0,3,January,C0010,Female,30.0,Cleveland
Call_7296,C0012,28.0,R05,2023-01-09,63.0,4,January,C0012,Female,28.0,Cincinnati
Call_7297,C0002,73.0,R05,2023-01-09,80.0,4,January,C0002,Male,31.0,Cleveland
Call_7298,C0011,81.0,R05,2023-01-10,50.0,5,January,C0011,Female,30.0,Cincinnati
Call_7299,C0009,31.0,R04,2023-01-10,123.0,3,January,C0009,Female,25.0,Columbus
Call_7300,C0015,155.0,R01,2023-01-10,110.0,5,January,C0015,Female,43.0,Cleveland
Call_7301,C0009,80.0,R05,2023-01-10,140.0,4,January,C0009,Female,25.0,Columbus
Call_7302,C0011,82.0,R05,2023-01-12,42.0,4,January,C0011,Female,30.0,Cincinnati
Call_7303,C0011,29.0,R01,2023-01-12,170.0,5,January,C0011,Female,30.0,Cincinnati
Call_7304,C0006,160.0,R02,2023-01-14,105.0,5,January,C0006,Male,23.0,Columbus
Call_7305,C0001,105.0,R05,2023-01-15,125.0,5,January,C0001,Male,41.0,Columbus
Call_7306,C0009,75.0,R03,2023-01-15,26.0,2,January,C0009,Female,25.0,Columbus
Call_7307,C0015,94.0,R03,2023-01-16,120.0,3,January,C0015,Female,43.0,Cleveland
Call_7308,C0004,90.0,R02,2023-01-16,132.0,3,January,C0004,Male,36.0,Cincinnati
Call_7309,C0015,81.0,R04,2023-01-17,96.50402414486922,2,January,C0015,Female,43.0,Cleveland
Call_7310,C0009,106.0,R05,2023-01-17,108.0,5,January,C0009,Female,25.0,Columbus
Call_7311,C0004,74.0,R04,2023-01-17,96.0,5,January,C0004,Male,36.0,Cincinnati
Call_7312,C0010,105.0,R02,2023-01-18,80.0,5,January,C0010,Female,30.0,Cleveland
Call_7313,C0009,89.0,R05,2023-01-18,155.0,4,January,C0009,Female,25.0,Columbus
Call_7314,C0013,132.0,R03,2023-01-18,168.0,4,January,C0013,Female,37.0,Cleveland
Call_7315,C0001,105.0,R01,2023-01-18,56.0,4,January,C0001,Male,41.0,Columbus
Call_7316,C0011,13.0,R03,2023-01-19,32.0,4,January,C0011,Female,30.0,Cincinnati
Call_7317,C0014,131.0,R01,2023-01-19,78.0,4,January,C0014,Female,38.0,Columbus
Call_7318,C0004,104.0,R05,2023-01-19,96.50402414486922,4,January,C0004,Male,36.0,Cincinnati
Call_7319,C0003,90.0,R02,2023-01-20,64.0,4,January,C0003,Male,26.0,Cincinnati
Call_7320,C0012,37.0,R02,2023-01-20,96.0,4,January,C0012,Female,28.0,Cincinnati
Call_7321,C0002,89.79759519038076,R01,2023-01-20,72.0,4,January,C0002,Male,31.0,Cleveland
Call_7322,C0013,100.0,R04,2023-01-21,135.0,4,January,C0013,Female,37.0,Cleveland
Call_7323,C0013,79.0,R03,2023-01-21,140.0,4,January,C0013,Female,37.0,Cleveland
Call_7324,C0008,157.0,R01,2023-01-21,69.0,4,January,C0008,Female,42.0,Cleveland
Call_7325,C0013,59.0,R05,2023-01-22,96.50402414486922,5,January,C0013,Female,37.0,Cleveland
Call_7326,C0012,89.79759519038076,R01,2023-01-22,28.0,4,January,C0012,Female,28.0,Cincinnati
Call_7327,C0008,58.0,R02,2023-01-23,135.0,3,January,C0008,Female,42.0,Cleveland
Call_7328,C0015,118.0,R02,2023-01-23,126.0,4,January,C0015,Female,43.0,Cleveland
Call_7329,C0011,63.0,R05,2023-01-23,160.0,4,January,C0011,Female,30.0,Cincinnati
Call_7330,C0008,95.0,R02,2023-01-24,48.0,5,January,C0008,Female,42.0,Cleveland
Call_7331,C0013,74.0,R01,2023-01-24,66.0,4,January,C0013,Female,37.0,Cleveland
Call_7332,C0010,130.0,R04,2023-01-24,96.50402414486922,2,January,C0010,Female,30.0,Cleveland
Call_7333,C0015,110.0,R03,2023-01-24,96.0,5,January,C0015,Female,43.0,Cleveland
Call_7334,C0013,71.0,R05,2023-01-25,90.0,4,January,C0013,Female,37.0,Cleveland
Call_7335,C0001,147.0,R04,2023-01-25,105.0,4,January,C0001,Male,41.0,Columbus
Call_7336,C0004,69.0,R02,2023-01-26,40.0,4,January,C0004,Male,36.0,Cincinnati
Call_7337,C0015,50.0,R05,2023-01-26,60.0,2,January,C0015,Female,43.0,Cleveland
Call_7338,C0010,124.0,R04,2023-01-27,215.0,4,January,C0010,Female,30.0,Cleveland
Call_7339,C0005,81.0,R01,2023-01-27,156.0,3,January,C0005,Male,37.0,Columbus
Call_7340,C0006,141.0,R03,2023-01-27,54.0,0,January,C0006,Male,23.0,Columbus
Call_7341,C0006,168.0,R03,2023-01-28,160.0,4,January,C0006,Male,23.0,Columbus
Call_7342,C0001,101.0,R01,2023-01-28,80.0,5,January,C0001,Male,41.0,Columbus
Call_7343,C0013,67.0,R01,2023-01-28,168.0,3,January,C0013,Female,37.0,Cleveland
Call_7344,C0008,114.0,R03,2023-01-30,42.0,3,January,C0008,Female,42.0,Cleveland
Call_7345,C0005,42.0,R01,2023-01-30,205.0,4,January,C0005,Male,37.0,Columbus
Call_7346,C0011,69.0,R03,2023-01-30,108.0,3,January,C0011,Female,30.0,Cincinnati
Call_7347,C0010,145.0,R02,2023-01-30,78.0,2,January,C0010,Female,30.0,Cleveland
Call_7348,C0004,43.0,R03,2023-01-30,23.0,5,January,C0004,Male,36.0,Cincinnati
Call_7349,C0011,62.0,R05,2023-01-31,99.0,4,January,C0011,Female,30.0,Cincinnati
Call_7350,C0009,79.0,R03,2023-02-01,148.0,4,February,C0009,Female,25.0,Columbus
Call_7351,C0010,45.0,R04,2023-02-01,34.0,4,February,C0010,Female,30.0,Cleveland
Call_7352,C0011,137.0,R03,2023-02-01,86.0,5,February,C0011,Female,30.0,Cincinnati
Call_7353,C0008,109.0,R05,2023-02-01,105.0,3,February,C0008,Female,42.0,Cleveland
Call_7354,C0004,78.0,R05,2023-02-01,62.0,3,February,C0004,Male,36.0,Cincinnati
Call_7355,C0011,137.0,R04,2023-02-01,90.0,4,February,C0011,Female,30.0,Cincinnati
Call_7356,C0014,99.0,R05,2023-02-02,112.0,5,February,C0014,Female,38.0,Columbus
Call_7357,C0015,100.0,R05,2023-02-02,135.0,4,February,C0015,Female,43.0,Cleveland
Call_7358,C0004,47.0,R02,2023-02-02,34.0,2,February,C0004,Male,36.0,Cincinnati
Call_7359,C0008,87.0,R01,2023-02-02,155.0,4,February,C0008,Female,42.0,Cleveland
Call_7360,C0014,143.0,R01,2023-02-04,124.0,5,February,C0014,Female,38.0,Columbus
Call_7361,C0015,84.0,R05,2023-02-04,195.0,4,February,C0015,Female,43.0,Cleveland
